,1960s,1970s,1980s,1990s,2000s,2010s,2020s
옛날,1.7536046015367432,3.1060449532766454,6.519116738761107,2.8607712030767556,,0.9510902088146507,
눈동자,1.7226125302756023,2.9353380234184767,3.659377522868838,1.5995483975809972,1.2952903681006456,1.9985389620074518,2.921675350958144
행복하다,1.696745344200228,4.56310130176052,9.60789806049346,19.199072591977735,31.38718068800916,19.464588314509545,18.584622376456686
지난,1.644611149538824,3.017358876668224,6.914243237349337,13.055107472940001,8.472058616813005,3.5495405031982807,3.102445509128955
수많다,1.5951079854265866,2.4133710498936463,5.370491294635919,6.394141920338881,4.809430124947009,4.601552068107668,4.891787928153615
발길,1.59444152286742,1.731108845236522,5.34662972071054,2.036410635076108,,,
곱다,1.556887071227949,4.119555698473569,5.469248789145194,2.375224043472571,2.2937989365682205,0.7178210880977554,
맺힌,1.4803749244452016,,,,0.8858952969602458,,
서럽다,1.329361727148337,2.5352370497699566,5.389975828640464,2.536062366999204,1.958496430506208,3.3710572676093293,
가득하다,1.2127144510432557,,3.6117670735535796,7.465233941159502,6.789679225079753,4.714999842621509,4.421809998334607
깊이,1.2004048700250352,1.168445768143241,3.5334567886812063,4.930930462192019,5.406964685330543,2.4826266811273565,2.9071221853205746
하얗다,,7.288254808690646,10.310590357462662,9.53284185740448,8.063469961094174,4.740878548906566,6.165538400121701
영원하다,,6.75808416675566,12.682057605681772,21.897601809978223,18.757279349979026,11.31968327782047,14.573840925394368
정말,,6.62958276565587,10.057529055896506,18.210720289541435,27.146596062024102,20.604185112099337,15.04051507116337
행복,,6.162495447871299,4.849847501589173,7.4013704286991215,10.769167708782069,5.350324255319427,11.287257506649466
작다,,5.759338673682673,13.195385480234021,14.327287039411505,10.717611982917576,8.92603542806123,13.879429356860065
시절,,4.940687015028187,5.636185317005359,4.380066740372308,2.226881784417177,3.324987482310207,3.2345761314342236
이야기,,4.833001348559796,6.499420594966958,2.840964104151258,3.088535179642814,6.082186001256032,2.098843133478981
라라라라,,4.820777214866613,,6.771852953495689,4.852897330246646,3.9993215289635904,3.5226962821688925
간다,,4.790430479394024,7.378992497205086,2.320096166484222,2.653122625556565,3.363169669605174,
바다,,4.780650790938164,4.167282771077427,7.68888035396052,5.294632316635024,5.054133303653679,8.327772306473724
조용하다,,4.596541433322615,3.23706382754206,1.7952874225547484,1.9161918331511512,3.9669579951869385,3.170452610037508
싫다,,4.4386971290536605,9.884680086400923,17.76655395208313,19.18004574052007,17.87142163869275,17.415888446908603
웃음,,4.4215989294479385,6.42388097768851,10.073604045810134,8.548261785152528,5.652851111679489,6.717413945514521
좋아하다,,4.396741706119979,7.879881862727049,5.323118062358524,7.492426940154088,14.175624323463762,10.960481761660088
친구,,4.176744996327165,8.689205982039454,17.495658732962212,11.397388650435023,10.013087118739113,7.369320380288777
겨울,,4.049194659142215,3.5900363026473294,4.839175582050885,3.1038264205228616,6.120274797012418,12.054786174643105
바보,,3.887077699048603,7.408420108346095,6.041064113286288,21.570453253459497,14.292171879254107,5.795556284179047
안녕,,3.8862953997198795,6.203564261510583,8.102357245814856,11.420311262898483,12.757848162556053,7.6955248494388
라라라,,3.7574677780613315,,1.8222265759131058,2.7376935306304073,6.258382302304645,4.745074843784425
소녀,,3.6439310881912905,3.3267005080230194,3.1684817573603388,1.9199822905894948,1.1850240751173962,0.9630622049038091
마주,,3.6292092310377218,4.822027207930435,3.1135729404385444,2.4141678858409485,4.1745561876096895,3.289610139221773
편지,,3.5899992221176533,3.83628469287778,3.823333122060468,3.4110009391160747,,
여름,,3.419277223242997,2.4580848799245234,4.200605803107512,3.3279658180642597,5.869532899369776,6.468770681139549
고개,,3.2887498654079734,3.562301241294966,5.101176243214163,4.611546676249066,3.549458972326836,4.663077472532974
하리,,3.256140144437225,4.468999709495264,3.2015530450001894,1.3849994870273954,,1.1748076598909194
